Key,Translation
configuration:settings,paramètres
configuration:connectors,##
configuration:authentication,##
configuration:errors,##
configuration:admin,##
configuration:about,##
capabilities:dashboard,Tableau de bord
capabilities:equipment,Equipement
capabilities:timers,Minuteries
capabilities:lights,Lumieres
capabilities:temperature,Temperature
capabilities:ato,Osmolateur
capabilities:ph,pH
capabilities:dosing_pumps,Pompes doseuses
capabilities:macros,Macros
capabilities:camera,Camera
capabilities:configuration,Configuration
capabilities:log,Log
loading,Chargement
are_you_sure,Êtes-vous sur?
clear,##
name,Nom
update,Mettre à jour
add,Ajouter
save,Sauvegarder
configure,Configurer
language:language,Langues
language:fr,Français
language:en,English
language:de,Deutsch
language:es,Español
language:it,Italiano
language:hi,हिन्दी
language:fa,فارسی
configuration:authentication:credentials,##
configuration:authentication:error_user,##
configuration:authentication:error_pass,##
configuration:tab:settings,Paramètres
configuration:tab:connectors,Connecteurs
configuration:tab:authentication,Authentification
configuration:tab:drivers,Drivers
configuration:tab:errors,Erreurs
configuration:tab:telemetry,Télémétrie
configuration:tab:admin,Administration
configuration:tab:about,À propos
configuration:admin:sign_out,Déconnexion
configuration:admin:reload,Rechargement
configuration:admin:reboot,Rédémarrage
configuration:admin:poweroff,Arrêt
configuration:about:version,Version
configuration:about:website,Site Web
configuration:about:status,Statut
configuration:about:current_time,Heure actuelle
configuration:about:uptime,Durée de fonctionnement
signin:username,Nom d'utilisateur
signin:password,Mot de passe
signin:signin,Connexion
signin:invalidcredentials,Nom d'utilisateur ou mot de passe invalide
log:time,Heure
log:emitter,Émetteur
log:type,Type
log:content,Message
dashboard:back_to_dashboard,Retour au Tableau de bord
capabilities:lighting,##
capabilities:doser,##
capabilities:macro,##
capabilities:dev_mode,##
capabilities:health_check,##
configuration:settings:interface,##
configuration:settings:name,##
configuration:settings:address,##
configuration:settings:rpi_pwm_freq,##
configuration:settings:notification,##
configuration:settings:display,##
configuration:settings:use_https,##
configuration:settings:enable_profiling,##
configuration:settings:capabilities,##
configuration:settings:alert_health_check,##
configuration:settings:max_memory,##
configuration:settings:max_cpu,##
