Key,Translation
loading,##
are_you_sure,##
clear,##
name,##
update,##
add,##
save,##
configure,##
language:language,##
language:french,##
language:english,##
configuration:authentication:credentials,##
configuration:authentication:error_user,##
configuration:authentication:error_pass,##
configuration:tab:settings,##
configuration:tab:connectors,##
configuration:tab:authentication,##
configuration:tab:drivers,##
configuration:tab:errors,##
configuration:tab:telemetry,##
configuration:tab:admin,##
configuration:tab:about,##
configuration:admin:sign_out,##
configuration:admin:reload,##
configuration:admin:reboot,##
configuration:admin:poweroff,##
configuration:about:version,##
configuration:about:website,##
configuration:about:status,##
configuration:about:current_time,##
configuration:about:uptime,##
signin:username,##
signin:password,##
signin:signin,##
signin:invalidcredentials,##
capabilities:dashboard,##
capabilities:equipment,##
capabilities:timers,##
capabilities:lights,##
capabilities:temperature,##
capabilities:ato,##
capabilities:ph,##
capabilities:dosing_pumps,##
capabilities:macros,##
capabilities:camera,##
capabilities:configuration,##
capabilities:log,##
log:time,##
log:emitter,##
log:type,##
log:content,##
dashboard:back_to_dashboard,##
