Key,Translation
add,add
alerts,Alerts
analog_input,Analog Input
analog_input,Analog Input
analog_inputs,Analog Inputs
are_you_sure,Are you sure?
ato,ATO
cancel,Cancel
clear,Clear
configure,Configure
delete,Delete
disabled,Disabled
documentation,Documentation
done,Done
doser,Doser
driver,Driver
edit,Edit
enabled,Enabled
equipment,Equipment
errors,Errors
health,Health
import_db,Import Database
in-use,in-use
inlet,Inlet
inlet,Inlet
inlets,Inlets
install,Install
jack,Jack
jacks,Jacks
light,Light
lights,Lights
loading,Loading
name,Name
none,None
ok,Ok
one_shot,One Shot
optional,Optional
outlet,Outlet
outlets,Outlets
pin,Pin
reverse,Reverse
running,running
save,Save
sec,sec
second_s,second(s)
select,Select
select_file,Please select a file
since,since
unit,Unit
update,Update
upgrade_reef_pi,Upgrade reef-pi to version
ato:alert_after,Alert After
ato:ato_status,ATO Status
ato:ato_usage,ATO Usage
ato:chk_freq,Check Frequency
ato:chk_freq_number,Check Frequency must be a number
ato:chk_freq_number_value,Check Frequency must be 1 second or greater
ato:chk_freq_required,Check Frequency is required
ato:control_pump,Control Pump
ato:controlequipment,Equipment
ato:controlmacro,Macro
ato:controlnothing,Nothing
ato:disable_on_alert,Disable on alert
ato:inlet_required,Inlet is required
ato:name_required,Name is required
ato:status_required,ATO Status is required
ato:threshold_required,Threshold is required when notification is enabled
ato:threshold_value,Threshold must be a number
ato:total_seconds_pump_on,Total number of seconds ato pump is on
ato:validation_error,The ATO settings cannot be saved due to validation errors.  Please correct the errors and try again.
ato:warn_delete,This action will delete
capabilities:ato,ATO
capabilities:camera,Camera
capabilities:configuration,Configuration
capabilities:dashboard,Dashboard
capabilities:dev_mode,Dev Mode
capabilities:doser,Doser
capabilities:dosing_pumps,Dosing pumps
capabilities:equipment,Equipment
capabilities:health_check,Health check
capabilities:journal,Journal
capabilities:lighting,Lighting
capabilities:lights,Lights
capabilities:log,Log
capabilities:macro,Macro
capabilities:macros,Macros
capabilities:manager,Instances
capabilities:ph,pH
capabilities:temperature,Temperature
capabilities:timers,Timers
collapsible:delete,Delete
collapsible:edit,Edit
color_picker:choose,Choose
configuration:about:current_time,Current time
configuration:about:status,Status
configuration:about:uptime,Uptime
configuration:about:version,Version
configuration:about:website,Website
configuration:admin:db_export,Download current database
configuration:admin:db_import,Import an existing database
configuration:admin:poweroff,Power Off
configuration:admin:reboot,Reboot
configuration:admin:reload,Reload
configuration:admin:sign_out,Sign Out
configuration:authentication:credentials,Credentials
configuration:authentication:error_pass,You Must Provide a password
configuration:authentication:error_user,You Must Provide a username
configuration:settings:address,Address
configuration:settings:alert_health_check,Alert on health check
configuration:settings:capabilities,Capabilities
configuration:settings:capabilities_required,Capabilities is required
configuration:settings:display,Display
configuration:settings:enable_profiling,Enable profiling
configuration:settings:enable_prometheus,Enable prometheus
configuration:settings:interface,Interface
configuration:settings:max_cpu,Max CPU
configuration:settings:max_memory,Max memory
configuration:settings:name,Name
configuration:settings:name_required,Name is required
configuration:settings:network_address_required,Network address is required
configuration:settings:network_interface_required,Network Interface is required
configuration:settings:notification,Notification
configuration:settings:rpi_pwm_freq,Rpi Pwm Frequency
configuration:settings:use_https,Use HTTPS
configuration:tab:about,About
configuration:tab:admin,Admin
configuration:tab:authentication,Authentication
configuration:tab:connectors,Connectors
configuration:tab:drivers,Drivers
configuration:tab:errors,Errors
configuration:tab:settings,Settings
configuration:tab:telemetry,Telemetry
cron:day_of_month,Day of the month
cron:hour,Hour
cron:minute,Minute
cron:month,Month
cron:second,Second
cron:week,Day of the week
dashboard:back_to_dashboard,Back to dashboard
fatal_error:connection_lost,Connection Lost
fatal_error:fatal_error,Fatal Error
fatal_error:message,Something went wrong and the UI cannot contact the server anymore. You may need to restart the webserver or do some troubleshooting.
fatal_error:troubleshoot,Troubleshoot
health_chart:cpu_memory,CPU/Memory
language:de,Deutsch
language:en,English
language:es,Español
language:fa,فارسی
language:fr,Français
language:hi,हिन्दी
language:it,Italiano
language:language,Language
language:nl,Nederlands
language:pt,Portuguesa
language:zh,中文
log:content,Content
log:emitter,Emitter
log:time,Time
log:type,Type
ph:alert_above,Alert Above
ph:alert_below,Alert Below
ph:analog_input_required,Analog Input is required
ph:calibrate,Calibrate
ph:chart:current,pH(latest)
ph:chart:historical,pH(historical)
ph:check_frequency,Check Frequency
ph:control,Control
ph:control_required,Control is requires
ph:controlequipment,Equipment
ph:controlmacro,Macro
ph:controlnothing,Nothing
ph:current_reading,Current Reading
ph:lower_function,Lower Function
ph:lower_function_required,Lower Function is required
ph:lower_threshold,Lower Threshold
ph:lower_threshold_less_than,Lower Threshold must be less than Upper Threshold
ph:lower_threshold_required,Lower Threshold is required
ph:lower_threshold_type,Lower Threshold must be a number
ph:midpoint,Midpoint
ph:name_required,Name is required
ph:period_min,Check Frequency must be 1 second or greater
ph:period_required,Check Frequency is required
ph:period_type,Check Frequency must be a number
ph:run_calibration,Run
ph:second_point,Second Point
ph:status,Ph Status
ph:status_required,Status is required
ph:threshold_greater_than,Alert Above must be greater than Alert Below
ph:threshold_less_than,Alert Below must be less than Alert Above
ph:threshold_required,Threshold is required when alerts are enabled
ph:threshold_type,Threshold must be a number
ph:upper_function,Upper Function
ph:upper_function_required,Upper Function is required
ph:upper_threshold,Upper Threshold
ph:upper_threshold_greater_than,Upper Threshold must be greater than Lower Threshold
ph:upper_threshold_required,Upper Threshold is required
ph:upper_threshold_type,Upper Threshold must be a number
ph:validation_error,The Ph settings cannot be saved due to validation errors.  Please correct the errors and try again.
ph:warn_delete,This action will delete
pins:Pins,Pins
signin:invalidcredentials,Invalid Credentials
signin:password,Password
signin:signin,Sign In
signin:username,Username
telemetry:main:current-limit,Current limit
telemetry:main:email-alerts,Email alerts
telemetry:main:historical-limit,Historical limit
telemetry:main:limit-per-hour,Limit per hour
telemetry:main:send-test-message,Send test message
telemetry:notification:from,From
telemetry:notification:password,Password
telemetry:notification:port,Port
telemetry:notification:server,Server
telemetry:notification:to,To
telemetry:notification:username,Username
temperatur:controlnothing, Nothing
temperature:calibrate, Calibrate
temperature:calibration:apply, Apply
temperature:calibration:set_temperature, Set Temperature
temperature:celsius,Celsius
temperature:chart:current, Temperature(recent)
temperature:chart:historical,Temperature(historical)
temperature:chart_maximum,Chart Maximum
temperature:chart_minimum,Chart Minimum
temperature:control, Control
temperature:controlequipment, Equipment
temperature:controlmacro, Macro
temperature:current_reading, Current Reading
temperature:fahrenheit,Fahrenheit
temperature:heater_cooler,Heater/Cooler
temperature:hysteresis_less_than, Hysteresis is less than acceptable threshold
temperature:lower_function, Heater
temperature:lower_threshold, Heater Threshold
temperature:sensor,Sensor
temperature:sensor_status,Sensor Status
temperature:temperature,Temperature
temperature:upper_function, Chiller
temperature:upper_threshold, Chiller Threshold
temperature:validation_error,The temperature settings cannot be saved due to validation errors.  Please correct the errors and try again.
temperature:warn_delete, This action will delete
timers:after,After
timers:and_then,And Then
