Key,Translation
action,Acción
add,Agregar
alerts,Alertas
analog_input,Entrada Análoga
analog_inputs,Entradas Análoga
are_you_sure,¿Esta Seguro?
ato,ATO
cancel,Cancelar
capabilities,
charts,Gráficas
clear,Limpiar
color,Color
columns,Columnas
configure,Configurar
delete,Eliminar
disabled,Desactivar
documentation,Documentación
done,Listo
doser,Dosificador
driver,Controlador
edit,Editar
enabled,Activar
end_time,Hora de finalización
equipment,Equipo
errors,Errores
full_moon,Luna Llena
health,Estado
height,Altura
in-use,en-uso
inlet,Entrada
inlets,Entradas
install,Instalar
jack,Enchufe
jacks,Enchufes
light,Luz
lights,Luces
loading,Cargando
maximum,Máximo
minimum,Mínimo
name,Nombre
no,
none,Ninguno
off,Apagado
ok,Ok
on,Encendido
one_shot,Un Intento
optional,Opcional
outlet,Caja de Salida
outlets,Caja de Salidas
pin,Aguja
pins,Agujas
profile,Perfil
reverse,Reversa
rows,Filas
running,Ejecutando
save,Guardar
schedule,Horario
sec,seg
second_s,segundo(s)
select,Seleccionar
select_file,Por favor seleccione un archivo
since,Desde
start_time,Hora de inicio
status,Estado
stayoffonboot,¿Apagado al reiniciar?
update,Actualizar
upgrade_reef_pi,Actualizar reef-pi a version
width,Anchura
yes,
ato:alert_after,Alerta despues de
ato:ato_usage,Uso del ATO
ato:chk_freq,Frecuencia de Revisión
ato:chk_freq_number,La Frecuencia de Revisión debe ser en numero
ato:chk_freq_number_value,La Frecuencia de Revisión debe ser igual o mayor a 1 segundo
ato:chk_freq_required,Frecuencia de Revisión es requerida
ato:control,Control
ato:control_target,Objetivo
ato:controlequipment,Equipo
ato:controlmacro,Macro
ato:controlnothing,Nada
ato:disable_on_alert,Desactivar si ocurre la alerta
ato:inlet_required,Seleccion una entrada
ato:name_required,Escribe un Nombre
ato:status_required,Selecciona un estado de ATO
ato:threshold_required,Se requiere un límite cuando la notificación está habilitada
ato:threshold_value,El límite debe ser un numero
ato:total_seconds_pump_on,Tiempo en segundos que el ATO tenga encendido
ato:validation_error,La configuración no se puede guardar debido a errores de validación. Corrija los errores e inténtelo de nuevo.
ato:warn_delete,Esta acción eliminará
camera:capture_flags,
camera:enable,
camera:take_photo,
camera:target_dir,
camera:tick_interval,
camera:to_gdrive,
capabilities:ato,ATO
capabilities:camera,Camara
capabilities:configuration,Configuración
capabilities:dashboard,Panel
capabilities:dev_mode,Dev Modo
capabilities:doser,Dosificador
capabilities:dosing_pumps,Dosificadores
capabilities:equipment,Equipos
capabilities:health_check,Chequeo del Sistema
capabilities:journal,Diario
capabilities:lighting,Iluminación
capabilities:lights,Luces
capabilities:log,Log
capabilities:macro,Macro
capabilities:macros,Macros
capabilities:manager,Instancias
capabilities:ph,pH
capabilities:temperature,Temperatura
capabilities:timers,Cronómetro
collapsible:delete,Eliminar
collapsible:edit,Editar
color_picker:choose,Elegir
configuration:about:current_time,Fecha Actual
configuration:about:modifications,Modificaciones por
configuration:about:status,Status
configuration:about:uptime,Uptime
configuration:about:version,Version
configuration:about:website,Website
configuration:admin:db_export,Descargue Base de Datos
configuration:admin:db_import,Importar una Base de Datos
configuration:admin:poweroff,Apagar
configuration:admin:reboot,Reiniciar
configuration:admin:reload,Recargar
configuration:admin:sign_out,Cerrar Sesion
configuration:authentication:credentials,Credenciales
configuration:authentication:error_pass,Proporcione una contraseña
configuration:authentication:error_user,Proporcione un nombre de usuario
configuration:settings:address,Direccion
configuration:settings:alert_health_check,Alerta de estado
configuration:settings:capabilities,Funciones
configuration:settings:capabilities_required,Al menos una Funcion es requerida
configuration:settings:cors,Activar cors
configuration:settings:display,Pantalla
configuration:settings:interface,Interface
configuration:settings:max_cpu,Procesador Maximo
configuration:settings:max_memory,Memoria Maxima
configuration:settings:name,Nombre
configuration:settings:name_required,El nombre es requerido
configuration:settings:network_address_required,La direccion de red es requerida
configuration:settings:network_interface_required,La interfaz de red es requerida
configuration:settings:notification,Notificacion
configuration:settings:pprof,Activar perfilado
configuration:settings:prometheus,Activar prometheus
configuration:settings:rpi_pwm_freq,Rpi Pwm Frecuencia
configuration:settings:use_https,Usar HTTPS
configuration:tab:about,Acerca De
configuration:tab:admin,Admin
configuration:tab:authentication,Autenticacion
configuration:tab:connectors,Conectores
configuration:tab:drivers,Drivers
configuration:tab:errors,Errores
configuration:tab:settings,Configuraciones
configuration:tab:telemetry,Telemetria
cron:day_of_month,Dia del Mes
cron:hour,Hora
cron:minute,Minuto
cron:month,Mes
cron:second,Segundo
cron:week,Semana
dashboard:back_to_dashboard,Volver al dashboard
dashboard:blank_panel,Sin Asignar (En Blanco)
doser:calibration:run,
doser:doser_usage,
doser:duration,
doser:speed,
equipment:chart:barchart,Equipo(Gráfica de Barras)
equipment:chart:ctrlpanel,Equipo(Panel de Interruptores)
fatal_error:connection_lost,Conexion Perdida
fatal_error:fatal_error,Error Fatal
fatal_error:message,Algo salió mal y la interfaz de usuario ya no puede contactar con el servidor. Es posible que deba reiniciar el servidor web o solucionar algunos problemas.
fatal_error:troubleshoot,Solucionar Problemas
health_chart:cpu_memory,Procesador/Memoria
journal:description,
journal:unit,Unidad
journal:warn_delete,
language:de,Deutsch
language:en,English
language:es,Español
language:fa,فارسی
language:fr,Français
language:hi,हिन्दी
language:it,Italiano
language:language,Idioma
language:nl,Nederlands
language:pt,
language:zh,
lighting:channel_name,Nombre del Canal
log:content,Contenido
log:emitter,Emisor
log:time,Hora
log:type,Tipo
macro:alert:message,
macro:alert:title,
macro:reversible,
macro:revert,
macro:reverting,
macro:run,
macro:running,
macro:steps,
macro:turn_off,Apagar
macro:turn_on,Encender
macro:wait:duration,
ph:alert_above,Alerta Sobre
ph:alert_below,Alerta Bajo
ph:analog_input_required,Entrada Analogica es requerida
ph:calibrate,Calibrar
ph:chart:current,pH(ultima)
ph:chart:historical,pH(histórico)
ph:chart_color,Color
ph:chart_unit,
ph:chart_ymax,
ph:chart_ymin,
ph:check_frequency,Revisar Frecuencia
