Key,Translation
action,
add,Ajouter
alerts,
analog_input,
analog_inputs,
apply,
are_you_sure,Êtes-vous sur?
ato,
cancel,
capabilities,
charts,
clear,Vider
color,
columns,
configure,Configurer
delete,
disabled,
documentation,
done,
doser,
driver,
edit,
enabled,
end_time,
equipment,
errors,
full_moon,
health,
height,
in-use,
inlet,
inlets,
install,
jack,
jacks,
lights,
loading,Chargement
maximum,
minimum,
name,Nom
no,
none,
off,
ok,
on,
one_shot,
optional,
outlet,
outlets,
pin,
pins,
profile,
reverse,
rows,
running,
save,Sauvegarder
schedule,
sec,
second_s,
select,
select_file,
since,
start_time,
status,Statut
stayoffonboot,
update,Mettre à jour
upgrade_reef_pi,
width,
yes,
ato:alert,
ato:alert_after,
ato:ato_usage,
ato:chk_freq,
ato:control,
ato:control_target,
ato:controlequipment,
ato:controlmacro,
ato:controlnothing,
ato:disable_on_alert,
ato:title_delete,
ato:total_seconds_pump_on,
ato:warn_delete,
camera:capture_flags,
camera:enable,
camera:take_photo,
camera:target_dir,
camera:tick_interval,
camera:to_gdrive,
capabilities:ato,Osmolateur
capabilities:camera,Camera
capabilities:configuration,Configuration
capabilities:dashboard,Tableau de bord
capabilities:dev_mode,Mode développement
capabilities:doser,Pompe doseuse
capabilities:dosing_pumps,Pompes doseuses
capabilities:equipment,Equipement
capabilities:health_check,Santé du système
capabilities:journal,
capabilities:lighting,Éclairage
capabilities:lights,Lumieres
capabilities:log,Log
capabilities:macro,Macro
capabilities:macros,Macros
capabilities:manager,
capabilities:ph,pH
capabilities:temperature,Temperature
capabilities:timers,Minuteries
collapsible:delete,
collapsible:edit,
color_picker:choose,
configuration:about:current_time,Heure actuelle
configuration:about:modifications,
configuration:about:status,Statut
configuration:about:uptime,Durée de fonctionnement
configuration:about:version,Version
configuration:about:website,Site Web
configuration:admin:db_export,
configuration:admin:db_import,
configuration:admin:poweroff,Arrêt
configuration:admin:reboot,Rédémarrage
configuration:admin:reload,Rechargement
configuration:admin:sign_out,Déconnexion
configuration:authentication:credentials,Informations d'identification
configuration:authentication:error_pass,Vous devez fournir un mot de passe
configuration:authentication:error_user,Vous devez fournir un nom d'utilisateur
configuration:settings:address,Adresse
configuration:settings:alert_health_check,Alerte de santé du système
configuration:settings:brightness,
configuration:settings:capabilities,Capacités
configuration:settings:cors,
configuration:settings:display,Affichage
configuration:settings:interface,Interface
configuration:settings:max_cpu,CPU maximum
configuration:settings:max_memory,Mémoire maximum
configuration:settings:name,Nom
configuration:settings:network_address_required,Adresse réseau requise
configuration:settings:network_interface_required,Interface réseau requise
configuration:settings:notification,Notification
configuration:settings:pprof,Activer le profilage
configuration:settings:prometheus,
configuration:settings:rpi_pwm_freq,Fréquence RPI PWM
configuration:settings:use_https,Utiliser HTTPS
configuration:tab:about,À propos
configuration:tab:admin,Administration
configuration:tab:authentication,Authentification
configuration:tab:connectors,Connecteurs
configuration:tab:drivers,Drivers
configuration:tab:errors,Erreurs
configuration:tab:settings,Paramètres
configuration:tab:telemetry,Télémétrie
cron:day_of_month,
cron:hour,
cron:minute,
cron:month,
cron:second,
cron:week,
dashboard:back_to_dashboard,Retour au Tableau de bord
dashboard:blank_panel,
doser:calibrate,
doser:calibration:run,
doser:doser_usage,
doser:duration,
doser:speed,
doser:title_delete,
doser:warn_delete,
driver:title_delete,
driver:type,
driver:warn_delete,
equipment:chart:barchart,
equipment:chart:ctrlpanel,
equipment:title_delete,
equipment:warn_delete,
fatal_error:connection_lost,
fatal_error:fatal_error,
fatal_error:message,
fatal_error:troubleshoot,
health_chart:cpu_memory,
health_chart:current,
health_chart:historical,
instance:title_delete,
instance:warn_delete,
journal:description,
journal:title_delete,
journal:unit,
journal:warn_delete,
language:de,Deutsch
language:en,English
language:es,Español
language:fa,فارسی
language:fr,Français
language:hi,हिन्दी
language:it,Italiano
language:language,Langues
language:nl,Nederlands
language:pt,
language:zh,
lighting:channel_name,
log:content,Message
log:emitter,Émetteur
log:time,Heure
log:type,Type
macro:alert:message,
macro:alert:title,
macro:reversible,
macro:revert,
macro:reverting,
macro:run,
macro:running,
macro:steps,
macro:turn_off,
macro:turn_on,
macro:wait:duration,
ph:alert_above,
ph:alert_below,
ph:analog_input_required,
ph:calibrate,
ph:chart:current,
ph:chart:historical,
ph:chart_color,
ph:chart_unit,
ph:chart_ymax,
ph:chart_ymin,
ph:check_frequency,
ph:control,
ph:control_required,
ph:controlequipment,
ph:controlmacro,
ph:controlnothing,
ph:current_reading,
ph:hysteresis,
ph:lower_function,
ph:lower_function_required,
ph:lower_threshold,
ph:lower_threshold_less_than,
ph:lower_threshold_required,
ph:lower_threshold_type,
ph:midpoint,
ph:name_required,
ph:period_min,
ph:period_required,
ph:period_type,
ph:run_calibration,
ph:second_point,
ph:status_required,
ph:threshold_greater_than,
ph:threshold_less_than,
ph:threshold_required,
ph:threshold_type,
ph:upper_function,
ph:upper_function_required,
ph:upper_threshold,
ph:upper_threshold_greater_than,
ph:upper_threshold_required,
ph:upper_threshold_type,
ph:warn_delete,
signin:invalidcredentials,Nom d'utilisateur ou mot de passe invalide
signin:password,Mot de passe
signin:signin,Connexion
signin:username,Nom d'utilisateur
telemetry:main:current-limit,
telemetry:main:email-alerts,
telemetry:main:historical-limit,
telemetry:main:limit-per-hour,
telemetry:main:send-test-message,
telemetry:notification:from,
telemetry:notification:password,
telemetry:notification:port,
telemetry:notification:server,
telemetry:notification:to,
telemetry:notification:username,
temperature:alert_above,
temperature:alert_below,
temperature:calibrate,
temperature:calibration:apply,
temperature:calibration:set_temperature,
temperature:celsius,
temperature:chart:current,
temperature:chart:down,
temperature:chart:historical,
temperature:chart:up,
temperature:chart_color,
temperature:chart_ymax,
temperature:chart_ymin,
temperature:check_frequency,
temperature:control,
temperature:controlequipment,
temperature:controlmacro,
temperature:controlnothing,
temperature:current_reading,
temperature:fahrenheit,
temperature:heater_cooler,
temperature:hysteresis,
temperature:hysteresis_less_than,
temperature:lower_function,
temperature:lower_threshold,
temperature:sensor,
temperature:temperature,
temperature:unit,
temperature:upper_function,
temperature:upper_threshold,
temperature:warn_delete,
timers:after,
timers:and_then,
timers:ato,
timers:camera,
timers:doser,
timers:equipment,
timers:equipment:off,
timers:equipment:on,
timers:equipment:revert,
timers:equipment_action,
timers:function,
timers:lightings,
timers:macro,
timers:message,
timers:ph,
timers:reminder,
timers:sec,
timers:stay_off,
timers:stay_on,
timers:subject,
timers:temperature,
timers:title_delete,
timers:turn_back_off,
timers:turn_back_on,
timers:turn_off,
timers:turn_on,
timers:warn_delete,
validation:cron_nojoker_required,
validation:cron_required,
validation:entry_required,
validation:error,
validation:integer_max_required,
validation:integer_min_required,
validation:last_full_moon_required,
validation:name_required,
validation:number_required,
validation:selection_required,
validation:time_required,
