Key,Translation
add,
alerts,
analog_input,
analog_inputs,
are_you_sure,
ato,
cancel,
clear,
configure,
delete,
disabled,
documentation,
done,
doser,
driver,
edit,
enabled,
equipment,
errors,
health,
import_db,
in-use,
inlet,
inlets,
install,
jack,
jacks,
light,
lights,
loading,
name,
none,
ok,
one_shot,
optional,
outlet,
outlets,
pin,
reverse,
running,
save,
sec,
second_s,
select,
select_file,
since,
unit,
update,
upgrade_reef_pi,
ato:alert_after,
ato:ato_status,
ato:ato_usage,
ato:chk_freq,
ato:chk_freq_number,
ato:chk_freq_number_value,
ato:chk_freq_required,
ato:control_pump,
ato:controlequipment,
ato:controlmacro,
ato:controlnothing,
ato:disable_on_alert,
ato:inlet_required,
ato:name_required,
ato:status_required,
ato:threshold_required,
ato:threshold_value,
ato:total_seconds_pump_on,
ato:validation_error,
ato:warn_delete,
capabilities:ato,
capabilities:camera,
capabilities:configuration,
capabilities:dashboard,
capabilities:dev_mode,
capabilities:doser,
capabilities:dosing_pumps,
capabilities:equipment,
capabilities:health_check,
capabilities:journal,
capabilities:lighting,
capabilities:lights,
capabilities:log,
capabilities:macro,
capabilities:macros,
capabilities:manager,
capabilities:ph,
capabilities:temperature,
capabilities:timers,
collapsible:delete,
collapsible:edit,
color_picker:choose,
configuration:about:current_time,
configuration:about:status,
configuration:about:uptime,
configuration:about:version,
configuration:about:website,
configuration:admin:db_export,
configuration:admin:db_import,
configuration:admin:poweroff,
configuration:admin:reboot,
configuration:admin:reload,
configuration:admin:sign_out,
configuration:authentication:credentials,
configuration:authentication:error_pass,
configuration:authentication:error_user,
configuration:settings:address,
configuration:settings:alert_health_check,
configuration:settings:capabilities,
configuration:settings:capabilities_required,
configuration:settings:display,
configuration:settings:enable_profiling,
configuration:settings:enable_prometheus,
configuration:settings:interface,
configuration:settings:max_cpu,
configuration:settings:max_memory,
configuration:settings:name,
configuration:settings:name_required,
configuration:settings:network_address_required,
configuration:settings:network_interface_required,
configuration:settings:notification,
configuration:settings:rpi_pwm_freq,
configuration:settings:use_https,
configuration:tab:about,
configuration:tab:admin,
configuration:tab:authentication,
configuration:tab:connectors,
configuration:tab:drivers,
configuration:tab:errors,
configuration:tab:settings,
configuration:tab:telemetry,
cron:day_of_month,
cron:hour,
cron:minute,
cron:month,
cron:second,
cron:week,
dashboard:back_to_dashboard,
fatal_error:connection_lost,
fatal_error:fatal_error,
fatal_error:message,
fatal_error:troubleshoot,
health_chart:cpu_memory,
language:de,Deutsch
language:en,English
language:es,Español
language:fa,فارسی
language:fr,Français
language:hi,हिन्दी
language:it,Italiano
language:language,
language:nl,Nederlands
language:pt,
language:zh,
log:content,
log:emitter,
log:time,
log:type,
ph:alert_above,
ph:alert_below,
ph:analog_input_required,
ph:calibrate,
ph:chart:current,
ph:chart:historical,
ph:check_frequency,
ph:control,
ph:control_required,
ph:controlequipment,
ph:controlmacro,
ph:controlnothing,
ph:current_reading,
ph:lower_function,
ph:lower_function_required,
ph:lower_threshold,
ph:lower_threshold_less_than,
ph:lower_threshold_required,
ph:lower_threshold_type,
ph:midpoint,
ph:name_required,
ph:period_min,
ph:period_required,
ph:period_type,
ph:run_calibration,
ph:second_point,
ph:status,
ph:status_required,
ph:threshold_greater_than,
ph:threshold_less_than,
ph:threshold_required,
ph:threshold_type,
ph:upper_function,
ph:upper_function_required,
ph:upper_threshold,
ph:upper_threshold_greater_than,
ph:upper_threshold_required,
ph:upper_threshold_type,
ph:validation_error,
ph:warn_delete,
pins:Pins,
signin:invalidcredentials,
signin:password,
signin:signin,
signin:username,
telemetry:main:current-limit,
telemetry:main:email-alerts,
telemetry:main:historical-limit,
telemetry:main:limit-per-hour,
telemetry:main:send-test-message,
telemetry:notification:from,
telemetry:notification:password,
telemetry:notification:port,
telemetry:notification:server,
telemetry:notification:to,
telemetry:notification:username,
temperatur:controlnothing,
temperature:calibrate,
temperature:calibration:apply,
temperature:calibration:set_temperature,
temperature:celsius,
temperature:chart:current,
temperature:chart:historical,
temperature:chart_maximum,
temperature:chart_minimum,
temperature:control,
temperature:controlequipment,
temperature:controlmacro,
temperature:current_reading,
temperature:fahrenheit,
temperature:heater_cooler,
temperature:hysteresis_less_than,
temperature:lower_function,
temperature:lower_threshold,
temperature:sensor,
temperature:sensor_status,
temperature:temperature,
temperature:upper_function,
temperature:upper_threshold,
temperature:validation_error,
temperature:warn_delete,
timers:after,
timers:and_then,
timers:day_required,
timers:duration_required,
timers:equipment,
timers:equipment:action,
timers:equipment:equipment,
timers:equipment:off,
timers:equipment:on,
timers:equipment:revert,
timers:equipment_required,
timers:function,
timers:hour_required,
timers:macro,
timers:macros,
timers:message,
timers:message_required,
timers:minute_required,
timers:name_required,
timers:on_required,
timers:reminder,
timers:sec,
timers:second_required,
timers:stay_off,
timers:stay_on,
timers:subject,
timers:subject_required,
timers:timer_status,
timers:timer_status_required,
timers:turn_back_off,
timers:turn_back_on,
timers:turn_off,
timers:turn_on,
timers:type_required,
timers:validation_error,
