Key,Translation
language:fr,Français
language:en,English
language:de,Deutsch
language:es,Español
language:it,Italiano
language:hi,हिन्दी
language:fa,فارسی
language:nl,Nederlands
loading,caricando
are_you_sure,sei_sicuro
clear,cancella
name,nome
update,aggiorna
add,aggiungi
save,salva
configure,configura
language:language,lingua
configuration:authentication:credentials,credenziali
configuration:authentication:error_user,errore_utente
configuration:authentication:error_pass,errore_pass
configuration:tab:settings,settaggi
configuration:tab:connectors,connettori
configuration:tab:authentication,autenticazione
configuration:tab:drivers,drivers
configuration:tab:errors,errori
configuration:tab:telemetry,telemetria
configuration:tab:admin,amministratore
configuration:tab:about,about
configuration:admin:sign_out,esci
configuration:admin:reload,ricarica
configuration:admin:reboot,riavvia
configuration:admin:poweroff,spegni
configuration:about:version,versione
configuration:about:website,sito_web
configuration:about:status,stato
configuration:about:current_time,ora_attuale
configuration:about:uptime,uptime
signin:username,utente
signin:password,password
signin:signin,accesso
signin:invalidcredentials,credenziali_invalide
capabilities:dashboard,dashboard
capabilities:equipment,attrezzatura
capabilities:timers,timers
capabilities:lights,luci
capabilities:lighting,illuminazione
capabilities:temperature,temperatura
capabilities:ato,ato
capabilities:ph,ph
capabilities:dosing_pumps,pompe_dosaggio
capabilities:doser,dosatori
capabilities:macros,macros
capabilities:macro,macro
capabilities:camera,camera
capabilities:configuration,configurazione
capabilities:log,log
capabilities:dev_mode,modo_sviluppo
capabilities:health_check,controllo_stato
log:time,tempo
log:emitter,emettitore
log:type,tipo
log:content,contenuto
dashboard:back_to_dashboard,torna_alla_dashboard
configuration:settings:interface,interfaccia
configuration:settings:name,nome
configuration:settings:address,indirizzo
configuration:settings:rpi_pwm_freq,frequenza_pwm
configuration:settings:notification,notifica
configuration:settings:display,display
configuration:settings:use_https,usa_https
configuration:settings:enable_profiling,abilita_profiling
configuration:settings:capabilities,capacità
configuration:settings:alert_health_check,allarme_controllo_stato
configuration:settings:max_memory,max_memoria
configuration:settings:max_cpu,max_cpu
configuration:settings:name_required,nome_richiesto
configuration:settings:network_interface_required,interfaccia_rete_richiesta
configuration:settings:network_address_required,indirizzo_rete_richiesto
configuration:settings:capabilities_required,capacità_richieste
ok,ok
cancel,cancella
documentation,documentazione
errors,errori
since,da
running,in_funzione
health_chart:cpu_memory,memoria_cpu
fatal_error:fatal_error,errore_fatale
fatal_error:connection_lost,connessione_persa
fatal_error:troubleshoot,diagnosi
fatal_error:message,messaggio
cron:day_of_month,giorno_del_mese
cron:hour,ora
cron:minute,minuto
cron:second,secondo
color_picker:choose,scegli
collapsible:edit,edita
collapsible:delete,cancella
timers:equipment:equipment,attrezzatura
timers:equipment:action,azione
timers:equipment:revert,indietro
timers:equipment:on,on
timers:equipment:off,off
select,seleziona
enabled,abilitato
disabled,disabilitato
edit,edita
inlet,inlet
delete,cancella
none,niente
ato:name_required,nome_richiesto
ato:status_required,stato_richiesto
ato:inlet_required,inlet_richiesto
ato:chk_freq,chk_freq
ato:chk_freq_required,chk_freq_richiesta
ato:chk_freq_number,chk_freq_numero
ato:chk_freq_number_value,chk_freq_numero_valore
ato:threshold_required,soglia_richiesta
ato:threshold_value,valore_soglia
ato:warning_delete,cancella_warning
