Key,Translation
ok,确定
select,选择
enabled,已启用
disabled,已禁用
cancel,取消
done,已完成
loading,载入中
documentation,文档
errors,错误
edit,编辑
analog_input,模拟输入
inlet,入口
delete,删除
since,since
running,运行中
are_you_sure,你确定吗?
clear,清除
name,名字
update,更新
add,添加
save,保存
none,空
alerts,警告
unit,单位
configure,配置
language:language,语言
language:fr,Français
language:en,English
language:de,Deutsch
language:es,Español
language:it,Italiano
language:hi,हिन्दी
language:fa,فارسی
language:nl,Nederlands
configuration:authentication:credentials,认证
configuration:authentication:error_user,你必须提供一个用户名
configuration:authentication:error_pass,你必须提供一个密码
configuration:tab:settings,设置
configuration:tab:connectors,连接器
configuration:tab:authentication,认证
configuration:tab:drivers,驱动
configuration:tab:errors,错误
configuration:tab:telemetry,遥测
configuration:tab:admin,管理
configuration:tab:about,关于
configuration:admin:sign_out,登出
configuration:admin:reload,重载
configuration:admin:reboot,重启
configuration:admin:poweroff,关机
configuration:about:version,版本
configuration:about:website,网站
configuration:about:status,状态
configuration:about:current_time,当前时间
configuration:about:uptime,运行时间
signin:username,用户名
signin:password,密码
signin:signin,登录
signin:invalidcredentials,认证无效
capabilities:dashboard,面板
capabilities:equipment,设备
capabilities:timers,计时器
capabilities:lights,灯具
capabilities:lighting,灯光
capabilities:temperature,温度
capabilities:ato,补水器
capabilities:ph,PH值
capabilities:dosing_pumps,滴定泵
capabilities:doser,滴定
capabilities:macros,宏命令
capabilities:macro,宏命令
capabilities:camera,摄像头
capabilities:manager,实例
capabilities:configuration,配置
capabilities:log,日志
capabilities:dev_mode,开发模式
capabilities:health_check,健康检查
log:time,时间
log:emitter,记录者
log:type,类型
log:content,内容
dashboard:back_to_dashboard,回到面板
configuration:settings:interface,接口
configuration:settings:name,名字
configuration:settings:address,日志
configuration:settings:rpi_pwm_freq,树莓派整流器
configuration:settings:notification,通知
configuration:settings:display,显示
configuration:settings:use_https,使用HTTPS
configuration:settings:enable_profiling,启用资料收集
configuration:settings:enable_prometheus,启用监控
configuration:settings:capabilities,功能
configuration:settings:alert_health_check,健康检查警告
configuration:settings:max_memory,最大内存
configuration:settings:max_cpu,最大CPU
configuration:settings:name_required,必须填写名字
configuration:settings:network_interface_required,必须填写网络接口
configuration:settings:network_address_required,必须填写网络地址
configuration:settings:capabilities_required,必须填写功能
health_chart:cpu_memory,CPU/内存
fatal_error:fatal_error,致命错误
fatal_error:connection_lost,连接丢失
fatal_error:troubleshoot,排除故障
fatal_error:message,无法连接服务器，你需要重启服务器或者排除故障。
cron:day_of_month,这个月的第几天
cron:hour,小时
cron:minute,分钟
cron:second,秒
color_picker:choose,选择
collapsible:edit,编辑
collapsible:delete,删除
timers:equipment:equipment,设备
timers:equipment:action,动作
timers:equipment:revert,恢复
timers:equipment:on,开启
timers:equipment:off,关闭
ato:name_required,必须填写名字
ato:status_required,必须填写补水器状态
ato:inlet_required,必须填写进口
ato:chk_freq,检查频率
ato:chk_freq_required,必须填写检查频率
ato:chk_freq_number,检查频率必须是个数字
ato:chk_freq_number_value,检查频率必须大于或等于1
ato:threshold_required,当启用通知时必须填写阈值
ato:threshold_value,阈值必须是一个数字
ato:warning_delete,这个动作将会删除
ato:ato_usage,补水器使用情况
ato:ato_status,补水器状态
ato:control_pump,控制泵
ato:control_pump,控制泵
ato:control_pump,控制泵
ato:alert_after,告警发生于
ato:disable_on_alert,禁用发生于告警
ato:total_seconds_pump_on,补水泵开启秒数
ato:validation_error,补水器设置因为验证错误而无法存储。请纠正错误后重试。
timers:name_required,必须填写名字
timers:timer_status_required,必须填写计时器状态
timers:day_required,必须填写日期
timers:hour_required,必须填写小时
timers:minute_required,必须填写分钟
timers:second_required,必须填写秒
timers:type_required,必须填写类型
timers:equipment_required,必须填写设备
timers:on_required,必须要开启
timers:duration_required,必须填写持续时间
timers:subject_required,必须填写主题
timers:message_required,必须填写消息
timers:validation_error,计时器设置因为验证错误而无法存储。请纠正错误后重试。
timers:turn_on,开启
timers:turn_off,关闭
timers:and_then,然后
timers:turn_back_on,重新开启
timers:turn_back_off,重新关闭
timers:stay_on,保持开启
timers:stay_off,保持关闭
second_s,秒
sec,秒
timers:sec,秒
timers:after,后于
timers:subject,主题
timers:message,消息
timers:timer_status,计时器状态
timers:function,功能
timers:equipment,设备
timers:reminder,提醒者
temperature:temperature,温度
temperature:heater_cooler,加热器/冷水机
temperature:chart_minimum,图表最小值
temperature:chart_maximum,图表最大值
temperature:validation_error,温度设置因为验证错误而无法存储，请纠正错误后重试。
temperature:sensor,传感器
temperature:sensor_status,传感器状态
temperature:celcius,摄氏的
temperature:fahrenheit,华氏的
ph:calibrate,校正
ph:midpoint,正中央
ph:second_point,第二点
ph:current_reading,当前读数
ph:run_calibration,运行
